danceability,energy,instrumentalness,valence,tempo,duration_ms,sadproportion,wordcount,Baseline,PostInduction,PostListening,rumination,rumsplit,brainstem,Entrainment,Memory,Conditioning,Imagery,Contagion,Expectancy,Appraisal,LikelyUse
0.526,0.328,0,0.11,116.068,526387,0,130,6,15,15,3.6666666666666665,Low,Yes,No,No,Yes,No,No,Yes,No,1
0.472,0.153,1.95e-6,0.0745,104.551,195426,NA,NA,4,7,6,3.1666666666666665,Low,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1
0.651,0.568,3.48e-6,0.188,134.828,315373,0.04838709677419355,62,6,6,6,2.75,Low,Yes,No,No,No,No,Yes,Yes,Yes,0
0.593,0.75,3.32e-5,0.45,118.005,208107,0.49056603773584906,212,9,16,9,3.75,Low,Yes,No,Yes,Yes,Yes,No,Yes,No,1
0.623,0.17,0.00103,0.0949,75.961,260507,0.020833333333333332,48,18,21,21,4.666666666666667,High,No,Yes,No,Yes,No,No,No,Yes,0
0.739,0.341,1.1e-6,0.231,80.958,266000,NA,NA,9,13,18,4.666666666666667,High,Yes,Yes,No,No,No,No,Yes,Yes,0
0.6,0.869,0.441,0.56,117.064,215267,NA,NA,4,16,13,2.8333333333333335,Low,Yes,No,No,Yes,NA,No,No,Yes,1
0.535,0.73,0,0.723,74.89,281133,0.0718954248366013,306,12,20,12,1.5,Low,Yes,No,Yes,Yes,No,No,No,Yes,0
0.403,0.654,4.08e-5,0.197,74.617,354547,0.03571428571428571,224,8,14,17,4.166666666666667,High,Yes,No,Yes,No,Yes,No,Yes,Yes,1
0.409,0.137,0,0.106,162.08,225076,0.25,1200,7,7,9,4.25,High,Yes,Yes,No,Yes,No,No,Yes,Yes,1
0.614,0.471,0,0.32,80.024,210507,0.08333333333333333,48,7,8,9,3.75,Low,Yes,No,Yes,No,No,No,Yes,Yes,0
0.127,0.011,0.972,0.0367,71.198,246627,0,1,8,19,15,4.833333333333333,High,Yes,No,Yes,No,No,No,Yes,No,1
0.641,0.667,0,0.51,102.002,259453,0.029239766081871343,684,16,22,15,2.25,Low,Yes,No,No,No,No,Yes,Yes,Yes,0
0.711,0.292,0,0.194,103.951,296800,0.09219858156028368,141,6,16,15,4.583333333333333,High,Yes,No,No,No,No,No,Yes,No,1
0.589,0.242,0,0.257,89.749,221107,0.06666666666666667,3240,17,20,22,4.166666666666667,High,Yes,Yes,No,Yes,No,No,Yes,Yes,0
0.742,0.833,0,0.816,113.375,188987,NA,NA,13,13,9,4,High,No,No,No,No,No,No,Yes,Yes,1
0.428,0.244,1.44e-4,0.39,100.495,179773,0.1935483870967742,31,15,13,27,4.25,High,Yes,No,No,No,No,No,Yes,Yes,0
0.552,0.643,0.74,0.212,120.012,272800,0.11764705882352941,136,6,8,15,3.5,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.622,0.54,0.00771,0.847,130.879,264907,0.020833333333333332,48,8,9,9,4.5,High,Yes,No,No,Yes,No,No,Yes,Yes,1
0.581,0.965,0,0.686,99.348,193507,0.13043478260869565,69,8,7,7,4.583333333333333,High,Yes,No,No,No,No,No,Yes,No,1
0.688,0.782,0,0.453,146.324,343032,0.1033210332103321,271,6,6,8,3.8333333333333335,Low,Yes,No,No,No,No,No,Yes,Yes,0
0.429,0.594,4.95e-6,0.236,150.22,265000,0.08108108108108109,296,10,22,14,4.333333333333333,High,Yes,No,Yes,No,No,No,Yes,Yes,1
0.583,0.428,0,0.254,99.605,225241,0.061224489795918366,392,7,9,11,4.083333333333333,High,Yes,No,No,No,No,No,Yes,Yes,1
0.4,0.613,0.0114,0.521,207.576,240400,0.058823529411764705,68,9,14,14,4.666666666666667,High,Yes,No,No,No,No,No,Yes,No,1
0.496,0.82,0.246,0.549,110.977,249013,0.07407407407407407,81,11,10,11,3.9166666666666665,High,Yes,No,No,Yes,No,No,Yes,Yes,1
